State,County,Urban,TOTALPOP,PERCENT_LOWA_Pop,LOWA_POP,PERCENT_LOWI,LOWI,PERCENT_HUNV,HUNV,PERCENT_KIDS,KIDS,PERCENT_SENIORS,SENIORS
VA,Brunswick,No,3758,42.4,1593,6.8,256,5.6,85,10,374,6.8,254
VA,Buckingham,No,6170,10.9,675,2.5,152,0.3,7,2.3,144,1.8,113
VA,Caroline,No,3243,25.6,829,2.5,80,2.1,25,6.3,205,4.1,133
VA,Craig,No,5091,14.4,732,1.3,68,1.1,22,3.5,177,1.9,97
VA,Dinwiddie,Yes,5366,43.6,2342,3.6,191,2.1,41,13.9,749,3,161
VA,Fairfax,Yes,3059,38.1,1165,3.8,110,0,0,19.3,589,0.1,2
VA,Hanover,Yes,3604,15.9,573,2.1,52,1.7,19,2.4,86,6.4,231
VA,Henrico,Yes,2920,54.6,1594,5,134,4,45,10.3,302,13.1,382
VA,Highland,No,2536,100,2536,12.6,318,7.6,86,19.9,504,20.4,517
VA,King and Queen,No,3788,17.5,663,2.2,82,1.4,20,4.1,154,3.1,116
VA,Nottoway,No,2510,29.4,738,5.9,147,2.6,26,6.5,163,5,125
VA,Pittsylvania,No,3876,41.5,1607,5.2,203,2.9,47,8.9,346,6,233
VA,Prince Edward,No,8826,6.4,563,1.6,91,0.7,16,1.8,160,0.8,69
VA,Prince George,Yes,7342,46.1,3386,3.5,160,3,42,17.6,1289,0.1,10
VA,Prince William,Yes,5472,93.3,5105,12.4,674,8.6,159,33.8,1848,2.8,154
VA,Roanoke,Yes,7782,21.9,1703,3.1,236,2.9,97,6.2,486,2.1,166
VA,Rockbridge,No,6615,16,1060,1.6,105,0.9,23,3.9,255,2,131
VA,Southampton,No,2732,28.2,772,4.5,123,2.2,23,7.1,195,4.5,122
VA,Spotsylvania,No,5862,8.6,505,0.9,53,0.3,6,2.6,150,0.6,37
VA,Surry,No,3263,21.4,698,2.7,87,2.2,29,4.7,152,3.5,115
VA,Bedford City,Yes,6299,9.5,597,1.7,99,1.1,27,1.9,120,2.9,184
VA,Chesapeake,Yes,4660,38.6,1799,7.1,328,3.6,77,11.6,539,3.5,161
VA,Colonial Heights,Yes,2624,82.3,2159,5.8,152,6.4,70,21.4,562,11.8,308
VA,Danville,Yes,4545,23,1044,9.5,400,7.9,139,7.4,334,5.1,233
VA,Franklin City,Yes,3820,86.1,3289,31.1,1178,19.4,300,25,956,12.7,486
VA,Fredericksburg,Yes,6340,45.6,2890,7.2,305,3.9,79,8.5,539,4.6,292
VA,Galax,Yes,6837,29.4,2012,6,399,3.1,91,7.3,497,4.6,312
VA,Harrisonburg,Yes,7075,17.4,1230,2.5,174,1.1,30,3.8,269,2.1,152
VA,Hopewell,Yes,1515,34.9,528,5.6,89,5.9,42,8.1,123,3.5,54
VA,Lynchburg,Yes,5987,8.8,530,0.9,55,0.7,17,1.9,113,0.9,54
VA,Manassas Park,Yes,5301,34,1804,2.1,109,1.6,26,10.7,567,1.8,95
VA,Martinsville,Yes,2879,22.3,643,7.5,213,6.1,70,5.3,153,5,143
VA,Newport News,Yes,6518,33,2153,8.1,529,7,175,9.4,612,4.1,268
VA,Petersburg,Yes,3044,27.5,836,9,276,9.2,109,9.7,296,2.1,63
VA,Portsmouth,Yes,2472,37.6,931,3.9,92,3.5,36,8.4,209,3,74
VA,Radford,Yes,9519,14,1333,6.9,469,1.7,50,1.9,177,1,95
VA,Richmond City,Yes,1720,100,1720,24.9,401,34.6,244,32.4,558,11.3,195
VA,Roanoke City,Yes,3800,49.6,1884,6.9,263,4.4,67,10.5,399,11,420
VA,Virginia Beach,Yes,3957,26.8,1061,2.1,45,0.4,2,7.7,303,0,0
WA,Asotin,Yes,3190,15.7,501,1.3,41,0.7,9,3.9,124,3,96
WA,Chelan,Yes,8217,66.3,5451,12.3,983,7.6,203,20.2,1661,9.2,754
WA,Clallam,No,2043,97.1,1983,16.7,191,7.2,36,17.6,359,7,142
WA,Cowlitz,Yes,4509,13.3,602,5.2,231,2.8,41,5.4,245,0.3,15
WA,Ferry,No,2750,59.3,1631,13.1,356,4,41,17.1,470,6.2,170
WA,Grays Harbor,No,1167,100,1167,28.2,325,8.2,29,37.5,438,5.1,59
WA,Island,Yes,3783,100,3783,7.1,269,2.8,41,26,985,10.8,408
WA,Kitsap,Yes,4663,22.4,1045,6.1,281,1.8,36,5.1,238,1.3,60
WA,Kittitas,Yes,5929,52.5,3112,34.3,1429,5.6,106,7.4,437,1.1,67
WA,Klickitat,No,8238,18.8,1546,3.3,269,0.7,23,5.2,430,2.4,199
WA,Okanogan,No,6818,24.3,1659,5.8,388,0.9,25,5.9,400,3.3,224
WA,Pacific,Yes,1317,70.8,932,13.1,171,9,61,12.7,167,16.5,218
WA,Pend Oreille,No,2470,60,1483,10.4,258,2.3,22,16.2,399,8.1,201
WA,Skagit,Yes,2384,67.6,1613,7.4,173,7.3,74,16.9,403,13.3,317
WA,Snohomish,Yes,5607,57.2,3209,18.9,1047,10.9,228,18,1009,3.9,220
WA,Spokane,Yes,4571,38,1735,9.5,427,3.7,67,11.4,520,3.9,177
WA,Stevens,No,7066,29.2,2063,6.5,460,1.3,37,7.3,517,4.3,304
WA,Walla Walla,Yes,7735,20.5,1584,3,206,2,58,4.6,353,3.9,298
WA,Whatcom,No,6410,12.2,781,2,125,0.1,2,3.2,204,1,63
WA,Whitman,Yes,2184,100,2184,24.2,115,5.9,11,6.1,134,0.2,4
